Title,Authors,"Year Published","Library Categories",Permalink,Status,"Publication File"
"A Complete Treatise On The Mineral Waters Of Virginia","John Rouelle",1792,History,https://worldherblibrary.org/catalog/a-complete-treatise-on-the-mineral-waters-of-virginia/,publish,https://api.worldherblibrary.org/pdf/A-complete-treatise-on-the-mineral-waters-of-Virginia-compressed-compressed.pdf
"A complete treatise on the mineral waters of Virginia","John Rouelle",1792,,https://worldherblibrary.org/catalog/a-complete-treatise-on-the-mineral-waters-of-virginia-2/,publish,https://api.worldherblibrary.org/pdf/A-complete-treatise-on-the-mineral-waters-of-Virginia-compressed-1.pdf
"A complete treatise on the mineral waters of Virginia","John Rouelle",1792,,https://worldherblibrary.org/catalog/a-complete-treatise-on-the-mineral-waters-of-virginia-3/,publish,https://api.worldherblibrary.org/pdf/A-complete-treatise-on-the-mineral-waters-of-Virginia-compressed.pdf
"A Comprehensive Treatise on Perfumery, Containing a History of Perfumes",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=2532,draft,
"A Concise historical sketch of the progress of pharmacy in Great Britain","Jacob Bell",1843,Pharmacy,https://worldherblibrary.org/catalog/a-concise-historical-sketch-of-the-progress-of-pharmacy-in-great-britain/,publish,https://api.worldherblibrary.org/pdf/A-concise-historical-sketch-of-the-progress-of-pharmacy-in-Great-Britain-compressed.pdf
"A Contribution to Ethnobotany","J. Walter Fewkes .",1896,Ethnobotany,https://worldherblibrary.org/catalog/a-contribution-to-ethnobotany/,publish,https://api.worldherblibrary.org/pdf/658267-compressed.pdf
"A Contribution To South African Materia Medica","Andrew Smith",1928,Ethnobotany,https://worldherblibrary.org/catalog/a-contribution-to-south-african-materia-medica/,publish,https://api.worldherblibrary.org/pdf/A-contribution-to-South-African-materia-medica-compressed.pdf
"A Copendiam Of Botanica Meteria Medica For Use Of Students In Medicine And Pharmacy","Samuel Waggman",1901,"Medical Botany",https://worldherblibrary.org/catalog/a-copendiam-of-botanica-meteria-medica-for-use-of-students-in-medicine-and-pharmacy/,publish,https://api.worldherblibrary.org/pdf/A-compendium-of-botanic-materia-medica-compressed.pdf
"A Course in Botany and Pharmacognosy","Henry Kraemer",1902,"Botany, Pharmacognosy",https://worldherblibrary.org/catalog/a-course-in-botany-and-pharmacognosy/,publish,https://api.worldherblibrary.org/pdf/Kraemer-med-botany-compressed.pdf
"A course in Botany and pharmacognosy","Henry Kraemer",1902,Pharmacognosy,https://worldherblibrary.org/catalog/a-course-in-botany-and-pharmacognosy-2/,publish,https://api.worldherblibrary.org/pdf/A-course-in-botany-and-pharmacognosy-copy-compressed.pdf
"A Course of Fifteen Lectures on Medical Botany","Dr. Samuel. Robinson",1835,"Botany, Medical Botany",https://worldherblibrary.org/catalog/a-course-of-fifteen-lectures-on-medical-botany/,publish,https://api.worldherblibrary.org/pdf/Robinson-S.-1830.-A-Course-of-15-Lectures-on-Medical-Botany.pdf
"A course of fifteen lectures on medical botany- denominated Thomson’s new theory of medical practice","Dr. Samuel. Robinson",1855,"Thomsonian Botanic Medicine",https://worldherblibrary.org/catalog/a-course-of-fifteen-lectures-on-medical-botany-denominated-thomsons-new-theory-of-medical-practice/,publish,https://api.worldherblibrary.org/pdf/A-course-of-fifteen-lectures-on-medical-botany-denominated-Thomsons-new-theory-of-medical-practice-compressed.pdf
"A Course of Home Study for Pharmacists","Oscar Oldberg, P. D",1891,Apothecary,https://worldherblibrary.org/catalog/a-course-of-home-study-for-pharmacists/,publish,https://api.worldherblibrary.org/pdf/Page-%E2%80%94-24_556-A-course-of-home-study-for-pharmacists-compressed.pdf
"A curious herbal","Elizabeth Blackwell, Samuel Harding",1737,Periodical,https://worldherblibrary.org/?post_type=whl_catalog&p=1051,draft,
"A Curious Herbal Vol.1-Pending",,,Herbals,https://worldherblibrary.org/?post_type=whl_catalog&p=1052,draft,
"A Description And History Of Vegetable Substances","Robert Mudie",1829,"Economic Botany",https://worldherblibrary.org/catalog/a-description-and-history-of-vegetable-substances/,publish,https://api.worldherblibrary.org/pdf/A-description-and-history-of-vegetable-substances-used-in-the-arts-and-in-domestic-economy-compressed.pdf
"A Description and History of Vegetable Substances Used in the Arts and in Domestic Economy Timber Trees Fruits Food Materials of Manufactures","Robert Mudie",1830,"Economic Botany",https://worldherblibrary.org/catalog/a-description-and-history-of-vegetable-substances-used-in-the-arts-and-in-domestic-economy-timber-trees-fruits-food-materials-of-manufactures/,publish,https://api.worldherblibrary.org/pdf/A-description-and-history-of-vegetable-substances-used-in-the-arts-and-in-domestic-economy-compressed.pdf
